text,url
Licensing,https://www.jax.org/strain/039166#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/039166
Common Uses,https://www.jax.org/strain/040163#jump-nav-4
Genetic Background,https://www.jax.org/strain/040163#jump-nav-2
Breeding Ability,https://www.jax.org/strain/040163#jump-nav-5
Starting Price,https://www.jax.org/strain/040163#jump-nav-6
Licensing,https://www.jax.org/strain/040163#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/040163
Common Uses,https://www.jax.org/strain/040189#jump-nav-4
Genetic Background,https://www.jax.org/strain/040189#jump-nav-2
Breeding Ability,https://www.jax.org/strain/040189#jump-nav-5
Starting Price,https://www.jax.org/strain/040189#jump-nav-6
Licensing,https://www.jax.org/strain/040189#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/040189
Common Uses,https://www.jax.org/strain/041613#jump-nav-4
Genetic Background,https://www.jax.org/strain/041613#jump-nav-2
Breeding Ability,https://www.jax.org/strain/041613#jump-nav-5
Starting Price,https://www.jax.org/strain/041613#jump-nav-6
Licensing,https://www.jax.org/strain/041613#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/041613
Common Uses,https://www.jax.org/strain/027139#jump-nav-4
Genetic Background,https://www.jax.org/strain/027139#jump-nav-2
Breeding Ability,https://www.jax.org/strain/027139#jump-nav-5
Starting Price,https://www.jax.org/strain/027139#jump-nav-6
Licensing,https://www.jax.org/strain/027139#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/027139
Common Uses,https://www.jax.org/strain/037193#jump-nav-4
Genetic Background,https://www.jax.org/strain/037193#jump-nav-2
Breeding Ability,https://www.jax.org/strain/037193#jump-nav-5
Starting Price,https://www.jax.org/strain/037193#jump-nav-6
Licensing,https://www.jax.org/strain/037193#jump-nav-7
View Full Datasheet,https://www.jax.org/strain/037193
